Date,Market,Code,Name,Variety,High,Mid,Low,Avg,Volume
114/12/25,一市,FV0,辣椒,其他,69.1,104,254.3,27.1,10.0
114/12/25,一市,FV1,辣椒,紅小,96.3,"2,108",143.5,96.9,47.6
114/12/25,一市,FV2,辣椒,青小,29.5,597,40.0,30.1,17.2
114/12/25,一市,FV3,辣椒,雞心,150.0,8,150.0,150.0,150.0
114/12/25,一市,FV4,辣椒,朝天椒,148.5,"2,364",175.9,149.6,117.4
114/12/25,一市,FV6,辣椒,糯米椒,86.6,"1,587",141.6,84.4,38.3
114/12/25,一市,FV9,辣椒,進口,190.0,21,190.0,190.0,190.0
114/12/25,一市,FV91,辣椒,進口,106.3,150,110.0,105.6,105.0
114/12/25,一市,FV91,辣椒,進口紅小,106.3,150,110.0,105.6,105.0
114/12/24,一市,FV0,辣椒,其他,59.7,201,190.5,31.6,13.4
114/12/24,一市,FV1,辣椒,紅小,112.3,"2,427",159.9,109.5,73.2
114/12/24,一市,FV2,辣椒,青小,37.4,699,50.0,42.5,9.3
114/12/24,一市,FV3,辣椒,雞心,171.4,7,200.0,165.7,160.0
114/12/24,一市,FV4,辣椒,朝天椒,161.4,"2,452",188.0,165.4,122.7
114/12/24,一市,FV5,辣椒,青龍,50.0,9,50.0,50.0,50.0
114/12/24,一市,FV6,辣椒,糯米椒,110.7,"1,538",159.4,112.1,58.0
114/12/24,一市,FV9,辣椒,進口,190.0,21,190.0,190.0,190.0
114/12/24,一市,FV91,辣椒,進口,120.2,290,130.0,120.3,110.0
114/12/24,一市,FV91,辣椒,進口紅小,120.2,290,130.0,120.3,110.0
114/12/23,一市,FV0,辣椒,其他,81.8,183,192.0,61.8,31.2
114/12/23,一市,FV1,辣椒,紅小,121.0,"1,851",174.9,120.4,69.1
114/12/23,一市,FV2,辣椒,青小,45.9,634,61.7,46.4,28.2
114/12/23,一市,FV3,辣椒,雞心,180.0,15,200.0,180.0,160.0
114/12/23,一市,FV4,辣椒,朝天椒,159.3,"2,929",189.0,162.2,121.1
114/12/23,一市,FV6,辣椒,糯米椒,107.4,"1,730",157.9,108.9,52.4
114/12/23,一市,FV9,辣椒,進口,130.0,21,130.0,130.0,130.0
114/12/23,一市,FV91,辣椒,進口,140.0,280,140.0,140.0,140.0
114/12/23,一市,FV91,辣椒,進口紅小,140.0,280,140.0,140.0,140.0
114/12/21,一市,FV0,辣椒,其他,71.0,122,159.9,51.6,40.0
114/12/21,一市,FV1,辣椒,紅小,120.5,"1,427",176.0,116.1,78.1
114/12/21,一市,FV2,辣椒,青小,50.4,429,55.0,53.1,37.7
114/12/21,一市,FV3,辣椒,雞心,188.1,16,246.9,177.9,160.0
114/12/21,一市,FV4,辣椒,朝天椒,177.6,"2,160",206.2,180.7,139.8
114/12/21,一市,FV5,辣椒,青龍,30.0,6,30.0,30.0,30.0
114/12/21,一市,FV6,辣椒,糯米椒,117.1,"1,200",176.3,112.7,70.8
114/12/21,一市,FV9,辣椒,進口,130.0,21,130.0,130.0,130.0
114/12/21,一市,FV91,辣椒,進口,108.0,150,110.0,110.0,100.0
114/12/21,一市,FV91,辣椒,進口紅小,108.0,150,110.0,110.0,100.0
114/12/20,一市,FV0,辣椒,其他,83.4,215,200.7,57.1,44.9
114/12/20,一市,FV1,辣椒,紅小,119.7,"1,212",156.8,123.9,70.0
114/12/20,一市,FV2,辣椒,青小,41.9,642,55.3,46.5,14.5
114/12/20,一市,FV3,辣椒,雞心,200.0,2,200.0,200.0,200.0
114/12/20,一市,FV4,辣椒,朝天椒,170.6,"2,176",197.3,176.0,127.8
114/12/20,一市,FV5,辣椒,青龍,40.0,3,40.0,40.0,40.0
114/12/20,一市,FV6,辣椒,糯米椒,117.5,"1,079",165.4,119.9,62.1
114/12/20,一市,FV9,辣椒,進口,90.0,21,90.0,90.0,90.0
114/12/20,一市,FV91,辣椒,進口,119.0,390,126.4,119.5,110.0
114/12/20,一市,FV91,辣椒,進口紅小,119.0,390,126.4,119.5,110.0
114/12/19,一市,FV0,辣椒,其他,98.9,177,250.0,70.1,34.0
114/12/19,一市,FV1,辣椒,紅小,121.2,"1,432",179.5,118.2,71.6
114/12/19,一市,FV2,辣椒,青小,45.9,666,57.4,48.7,26.3
114/12/19,一市,FV3,辣椒,雞心,233.0,10,250.0,236.7,205.0
114/12/19,一市,FV4,辣椒,朝天椒,179.6,"2,223",205.7,182.8,144.2
114/12/19,一市,FV5,辣椒,青龍,42.9,21,54.3,40.0,40.0
114/12/19,一市,FV6,辣椒,糯米椒,121.2,"1,041",181.6,124.0,52.6
114/12/19,一市,FV9,辣椒,進口,190.0,21,190.0,190.0,190.0
114/12/19,一市,FV91,辣椒,進口,126.5,325,130.0,127.4,120.0
114/12/19,一市,FV91,辣椒,進口紅小,126.5,325,130.0,127.4,120.0
114/12/19,二市,FV0,辣椒,其他,111.3,38,192.1,94.8,80.0
114/12/19,二市,FV1,辣椒,紅小,132.0,250,189.9,138.7,53.9
114/12/19,二市,FV2,辣椒,青小,63.0,56,70.0,67.1,43.9
114/12/19,二市,FV4,辣椒,朝天椒,203.4,979,237.2,214.9,135.0
114/12/19,二市,FV6,辣椒,糯米椒,124.3,212,162.6,129.4,70.3
114/12/19,二市,FV91,辣椒,進口,123.0,100,130.0,121.7,120.0
114/12/19,二市,FV91,辣椒,進口紅小,123.0,100,130.0,121.7,120.0
